postcode,total_population,num_sa1s,state,median_age,median_personal_income_weekly,median_hh_income_weekly,median_rent_weekly,median_mortgage_monthly,median_family_income_weekly,avg_household_size,pct_high_income_hh,pct_degree,pct_professional,pct_wfh,labour_force_participation_pct,unemployment_pct,seifa_irsad_score,seifa_irsad_decile,n_degree_total,n_prof_managerial,n_wfh,hh_total
2000,28529,65,NSW,33.8,1082.61,2338.6,660.03,2914.75,2508.08,2.21,39.51,48.5,47.5,39.15,63.2,7.3,973.67,9.36,13113,7663,6323,11818
2007,7426,21,NSW,31.13,847.29,1725.26,491.87,2292.14,2034.17,2.08,28.3,49.58,44.63,39.3,63.43,10.13,959.87,9.09,3426,1820,1610,2918
2008,10412,26,NSW,28.42,902.32,1731.5,512.96,2412.26,2405.25,1.86,30.38,54.4,57.0,49.91,64.06,9.96,1022.7,9.87,5413,3340,2922,4552
2009,12666,30,NSW,38.72,1355.63,2691.42,654.91,2947.17,3101.29,2.08,46.21,51.77,60.21,52.86,66.99,5.41,1041.6,9.56,5868,4266,3776,5581
2010,26444,67,NSW,36.54,1497.43,2555.48,570.35,2864.22,3679.23,1.77,42.78,55.65,65.34,54.79,71.78,5.2,1046.01,9.7,13894,11429,9586,13178
2011,18179,52,NSW,40.61,1553.95,2161.78,520.91,2585.27,3615.41,1.52,35.44,52.8,64.32,54.16,67.98,5.23,1050.49,9.66,9205,7370,6240,10089
2015,11833,29,NSW,34.36,1586.27,2771.38,581.37,2767.5,3579.8,2.08,49.5,55.97,64.28,56.99,80.6,3.36,1094.43,9.88,5870,5261,4668,5455
2016,13071,31,NSW,38.34,1242.73,2326.41,524.41,2567.62,3156.44,2.0,40.59,49.05,55.17,49.29,65.95,9.08,984.54,8.81,5864,4551,4022,5877
2017,29014,60,NSW,33.6,1210.98,2076.7,537.19,2380.59,2569.85,1.93,36.95,51.23,56.05,49.47,67.8,7.98,1013.57,9.18,13666,9920,8799,14120
2018,19864,44,NSW,37.53,986.71,2034.95,553.99,2463.62,2416.55,2.38,35.32,39.43,44.14,37.65,63.52,5.31,1014.37,7.65,6842,4904,4226,8140
2019,13469,37,NSW,37.49,1153.88,2410.47,553.3,2764.38,2852.02,2.59,44.5,30.62,41.99,35.43,68.9,3.24,1054.42,7.58,3342,3073,2584,4953
2020,21598,47,NSW,32.98,993.2,2255.64,593.19,2587.54,2417.64,2.54,40.54,42.63,41.23,37.07,68.34,5.76,1032.94,8.31,8208,5094,4589,8110
2021,15322,39,NSW,38.0,1666.03,3101.57,682.07,3905.76,4327.95,2.1,50.53,59.89,69.97,59.18,72.28,3.61,1099.72,10.0,7972,6478,5475,6774
2022,13515,31,NSW,36.72,1386.55,2806.61,714.46,3429.63,3579.41,2.26,47.63,50.95,61.48,53.18,66.17,4.11,1077.2,9.77,5852,4473,3871,5562
2023,10832,27,NSW,39.97,1596.36,3666.45,803.67,4143.94,4392.51,2.55,57.31,54.21,66.36,53.88,64.34,3.12,1119.59,10.0,4865,3715,3036,4119
2024,12133,32,NSW,38.8,1496.71,3340.29,695.35,3907.76,4185.17,2.48,55.5,51.58,66.26,56.17,66.62,2.45,1105.74,9.95,5117,4287,3644,4510
2025,7451,17,NSW,42.4,1643.17,3133.87,691.37,3896.96,4431.11,2.21,51.0,58.62,72.82,59.93,63.42,3.17,1105.89,10.0,3676,2800,2319,3085
2026,33433,79,NSW,34.39,1498.96,3045.95,718.0,3430.28,3796.43,2.28,51.46,53.75,64.68,56.69,71.36,3.9,1091.88,9.94,15386,12708,11158,13857
2027,8665,21,NSW,47.25,1707.01,3149.03,768.87,3839.18,4377.34,1.97,50.45,53.53,70.03,57.36,60.28,3.3,1102.41,10.0,4124,3124,2570,4014
2028,5225,11,NSW,39.28,1672.08,3080.13,749.65,3096.66,4099.0,2.08,51.97,58.48,69.73,60.07,66.44,3.48,1097.49,10.0,2671,2041,1764,2361
2029,11384,29,NSW,41.59,1435.3,2979.04,702.45,3806.99,3790.87,2.4,49.48,48.12,63.43,52.15,63.0,3.29,1098.85,9.96,4567,3650,3011,4520
2030,15644,36,NSW,42.91,1417.32,3761.99,1020.03,4612.74,4333.36,2.77,58.6,49.7,65.49,50.99,60.15,3.6,1113.56,9.92,6317,4841,3767,5345
2031,33832,80,NSW,37.3,1388.15,2725.08,607.54,3336.46,3499.92,2.31,47.94,51.98,61.28,50.59,69.5,3.48,1094.87,9.92,14809,11719,9697,13592
2032,14755,36,NSW,37.26,846.8,1931.44,511.87,2949.43,2518.34,2.46,33.17,42.38,48.4,38.33,58.53,6.57,1006.8,8.67,5406,3421,2718,5633
2033,12223,29,NSW,34.9,982.75,2127.27,566.52,2686.17,2723.42,2.32,35.42,45.01,52.62,44.06,61.78,6.38,1071.53,9.54,4798,3293,2748,4455
2034,20236,49,NSW,37.22,1443.07,3009.77,651.03,3386.85,3671.31,2.36,51.02,50.4,60.22,50.24,69.92,4.21,1077.9,9.49,8677,7210,6028,8276
