FY_LOL,Rolling_13Wk_LOL,Rolling_13Wk_LOL_728,FV_Store,Store,Channel,Measure,2016-07-10,2016-07-17,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,2016-09-04,2016-09-11,2016-09-18,2016-09-25,2016-10-02,2016-10-09,2016-10-16,2016-10-23,2016-10-30,2016-11-06,2016-11-13,2016-11-20,2016-11-27,2016-12-04,2016-12-11,2016-12-18,2016-12-25,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21,2017-05-28,2017-06-04,2017-06-11,2017-06-18,2017-06-25,2017-07-02,2017-07-09,2017-07-16,2017-07-23,2017-07-30,2017-08-06,2017-08-13,2017-08-20,2017-08-27,2017-09-03,2017-09-10,2017-09-17,2017-09-24,2017-10-01,2017-10-08,2017-10-15,2017-10-22,2017-10-29,2017-11-05,2017-11-12,2017-11-19,2017-11-26,2017-12-03,2017-12-10,2017-12-17,2017-12-24,2017-12-31,2018-01-07,2018-01-14,2018-01-21,2018-01-28,2018-02-04,2018-02-11,2018-02-18,2018-02-25,2018-03-04,2018-03-11,2018-03-18,2018-03-25,2018-04-01,2018-04-08,2018-04-15,2018-04-22,2018-04-29,2018-05-06,2018-05-13,2018-05-20,2018-05-27,2018-06-03,2018-06-10,2018-06-17,2018-06-24,2018-07-01,2018-07-08,2018-07-15,2018-07-22,2018-07-29,2018-08-05,2018-08-12,2018-08-19,2018-08-26,2018-09-02,2018-09-09,2018-09-16,2018-09-23,2018-09-30,2018-10-07,2018-10-14,2018-10-21,2018-10-28,2018-11-04,2018-11-11,2018-11-18,2018-11-25,2018-12-02,2018-12-09,2018-12-16,2018-12-23,2018-12-30,2019-01-06,2019-01-13,2019-01-20,2019-01-27,2019-02-03,2019-02-10,2019-02-17,2019-02-24,2019-03-03,2019-03-10,2019-03-17,2019-03-24,2019-03-31,2019-04-07,2019-04-14,2019-04-21,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-08-04,2019-08-11,2019-08-18,2019-08-25,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06,2019-10-13,2019-10-20,2019-10-27,2019-11-03,2019-11-10,2019-11-17,2019-11-24,2019-12-01,2019-12-08,2019-12-15,2019-12-22,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28,2023-06-04,2023-06-11,2023-06-18,2023-06-25,2023-07-02,2023-07-09,2023-07-16,2023-07-23,2023-07-30,2023-08-06,2023-08-13,2023-08-20,2023-08-27,2023-09-03,2023-09-10,2023-09-17,2023-09-24,2023-10-01,2023-10-08,2023-10-15,2023-10-22,2023-10-29,2023-11-05,2023-11-12,2023-11-19,2023-11-26,2023-12-03,2023-12-10,2023-12-17,2023-12-24,2023-12-31,2024-01-07,2024-01-14,2024-01-21,2024-01-28,2024-02-04,2024-02-11,2024-02-18,2024-02-25,2024-03-03,2024-03-10,2024-03-17,2024-03-24,2024-03-31,2024-04-07,2024-04-14,2024-04-21,2024-04-28,2024-05-05,2024-05-12,2024-05-19,2024-05-26,2024-06-02,2024-06-09,2024-06-16,2024-06-23,2024-06-30
1,1,1,1,10 - HFM Pennant Hills,Online,Customer Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,3,5,4,7,1,5,3,11,8,3,2,3,8,1,5,5,3,3,5,6,5,13,51,76,80,63,78,67,70,58,73,92,97,87,53,36,45,55,50,51,65,62,71,75,100,76,83,135,40,54,48,64,70,57,55,59,65,32,26,70,62,70,61,48,64,65,78,70,72,81,67,74,74,79,113
1,1,1,1,10 - HFM Pennant Hills,Online,Budget Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,10 - HFM Pennant Hills,Retail,Customer Count,8336,8825,8912,9123,8921,9090,9218,8904,9164,9111,9111,8967,8506,9056,9471,9255,9424,9656,9813,9725,9799,9760,9406,9324,10767,6591,8993,9206,9174,9187,9517,9333,9821,9588,9158,9272,8809,8949,9015,9136,8648,8607,9083,8930,9319,8634,8916,8658,8223,8411,8535,8496,7998,8146,8716,8466,8663,8760,8825,8604,8890,8724,8923,8488,8145,8334,9291,9327,9510,9558,9779,9606,9574,9712,9368,9544,11648,6542,8035,9094,9282,8935,9688,9551,9859,9373,9394,9472,9202,8915,9223,9221,8988,8334,8370,8884,8799,8381,8531,8148,7941,8094,8068,7989,8182,7873,8145,8493,8815,8513,8686,8648,8400,8407,8946,8849,8254,7804,8042,8855,9255,9361,9301,9046,9021,8701,9058,7856,10851,7086,7988,8428,8576,8354,8775,9298,9317,8976,8995,8740,8573,8458,8400,8368,8377,7786,7709,8081,8414,7846,7986,7640,7276,7801,7914,7750,7807,7286,7572,8061,8206,8091,8254,8429,8076,8304,8129,7938,8073,7666,8007,8746,8690,8800,8867,8675,8832,8706,8846,8831,9486,8422,7873,8285,8346,8441,8870,8295,8893,8777,9031,8928,9262,11590,8251,7619,8049,8343,8230,8247,8890,8180,8075,8150,8001,8003,8094,7936,7619,7365,7502,8042,7957,7862,7389,8013,7793,8002,7716,7970,7974,7397,7872,8415,8210,8044,8807,8633,8285,8086,8440,8511,8581,9131,7623,7672,7770,7447,7887,7994,8214,8178,7965,7764,7620,7239,7490,8734,7430,7323,7895,7597,7890,7606,7505,7299,7417,7172,7267,7144,6531,6452,6437,6436,6436,6555,6785,6621,6664,7097,7179,6993,7439,7363,7557,7200,7314,7520,7363,7289,7265,7136,7339,7355,7677,8804,6434,7238,7251,6627,7228,7162,7082,7259,6787,6402,6852,7239,7188,6864,6702,7625,6736,6987,7742,6857,7083,7048,6897,6569,6956,6924,6417,5965,6661,6864,7093,7149,7125,7072,7123,7448,7558,7463,7275,6768,7043,7404,7529,7723,8180,8188,8291,8176,8308,8287,8721,10041,6826,7267,7948,8262,8161,8653,8270,8598,8337,8402,8238,8108,8066,7618,8768,7349,7226,7912,7791,8287,7665,7447,7705,7403,7670,7453,7325,7433,7722,8223,8398,8434,8367,8294,8550,8765,8296,8671,8589,7855,8135,8657,9063,8796,8713,8770,8736,8452,8866,9281,9308,11671,6581,7207,8003,8101,8266,8906,8981,8978,8654,8806,8800,8784,8673,9822,8390,8309,7935,8214,8318,8867,8026,8176,8059,7672,7973,7817,7872
1,1,1,1,10 - HFM Pennant Hills,Retail,Budget Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7136.048,7667.976,7665.772,7821.439,7882.982,7970.102,7949.326,7820.888,7884.477,7882.51,8009.609,7725.348,7413.148,7456.354,8317.323,8366.195,8375.167,8530.44,8506.122,8390.356,8463.467,8356.987,8283.482,8323.147,8050.218,9466.174,6186.7,7574.167,8016.22,8296.153,8264.909,8441.746,8576.322,8311.106,8208.325,8233.351,7909.268,7810.658,7811.445,7613.673,7668.369,7274.008,7650.741,7650.741,7847.41,7383.085,7534.109,7265.666,6897.983,7217.03,7173.981,7161.468,7412.282,6139.977,6356.835,6596.88,6728.699,6781.562,6962.421,6944.299,6832.271,6887.736,6941.946,7053.708,6803.75,6567.217,7328.302,7119.381,7367.263,7375.152,7511.688,7490.304,7388.508,7452.797,7359.166,7294.532,6997.17,7786.213,5776.72,6383.208,6958.417,7059.521,6925.407,7282.421,7433.697,7552.033,7318.821,7228.443,7250.45,6965.475,6878.765,6885.616,6837.728,6465.697,6870.53,6432.48,6551.508,6911.082,6502.79,6635.588,6399.54,6076.227,6318.919,6356.773,6528.533,7335.026,7609.81,7916.932,7904,8005.463,7989.003,8101.017,7929.899,8014.201,7950.856,8181.131,7977.157,7419.495,7626.679,8369.238,8316.337,8547.71,8664.109,8757.919,8599.301,8603.605,8532.417,8852.631,8484.012,10892.824,6435.327,7576.353,8096.795,8190.689,8019.975,8562.956,8546.789,8789.397,8466.677,8352.135,8492.545,8216.616,8163.788,8465.345,8300.117,8008.585,7488.517,7412.981,7842.493,8036.991,7529.589,7702.165,7401.463,7095.777,7363.258,7427.753,7340.633
1,1,1,0,11 - HFM Meats Pennant Hills,Retail,Customer Count,2772,2836,2842,2839,2836,2828,2822,2846,2801,2635,2779,2789,2597,2668,2805,2811,2725,2723,2761,2708,2664,2561,2423,2459,2992,1658,2549,2594,2514,2615,2587,2485,2779,2859,2591,2827,2761,2820,2888,2916,2331,2747,2713,2917,2816,2926,2981,2873,2862,2737,2870,2671,2697,2720,2653,2755,2637,2660,2851,2828,3014,2821,2659,2494,2490,2438,2843,2715,2542,2746,2676,2838,2848,2466,2571,2392,3031,1760,2048,2539,2465,2490,2754,2545,2564,2680,2599,2751,2572,2641,2230,2779,2409,2699,2535,2868,2716,2826,2758,2609,2605,2759,2725,2695,2717,2621,2715,2687,2892,2788,2898,2915,2810,2747,2735,2711,2737,2531,2621,2713,2701,2533,2633,2548,2550,2394,2566,2018,3092,1691,2315,2601,2247,2455,2619,2666,2763,2690,2769,2606,2642,2585,2685,2739,2799,2313,2582,2678,2669,2609,2657,2672,2583,2615,2671,2594,2603,2480,2443,2603,2571,2610,2650,2558,2566,2515,2432,2568,2437,2252,2446,2635,2601,2556,2562,2431,2380,2399,2356,2254,2559,1963,2057,2326,2335,2310,2331,2587,2625,2630,2506,2675,2932,4347,2959,2638,2667,2774,2837,2839,2907,3058,2996,3000,2724,2779,2866,2697,2777,2707,2905,2938,2910,2932,2745,2713,2685,2801,2695,2685,2586,2536,2734,2732,2761,2751,2798,2778,2645,2412,2594,2536,2589,2505,2613,2539,2319,2386,2614,2645,2479,2548,2521,2640,2549,2469,2502,2699,2445,2625,2751,2701,2801,2575,2772,2825,2729,2820,2631,2845,2652,2816,2572,2642,2631,2559,2682,2611,2529,2702,2648,2645,2772,2790,2645,2520,2526,2304,2294,2288,2370,2347,2192,2187,2187,2306,1927,2401,2556,2429,2442,2482,2435,2382,2405,2285,2330,2376,2407,2417,2278,1991,2361,2399,2282,2374,2414,2496,2461,2378,2340,2319,2321,2193,2393,2370,2254,2231,2157,2252,2220,2280,2217,2165,2226,2125,2250,2195,2254,2112,2159,2090,2082,2112,2029,1960,2081,2630,1726,2010,2169,2029,2261,2237,2217,2164,2238,2277,2149,2106,2037,2074,1839,2214,2108,2289,2106,2184,2172,2137,2106,2100,2325,2120,2089,2195,2173,2171,2233,2275,2285,2204,2248,2438,2250,2316,2244,2142,2133,2213,2333,2437,2426,2274,2321,2332,2385,2248,2254,2943,1750,1936,2076,2218,2347,2350,2351,2333,2422,2466,2300,2275,2303,2047,2622,2556,2447,2322,2418,2395,2366,2357,2401,2083,2417,2225,2306
1,1,1,0,11 - HFM Meats Pennant Hills,Retail,Budget Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2715.303,2800.234,2796.316,2841.287,2799.035,2813.27,2855.309,2852.057,2849.951,2741.081,2709.918,2682.807,2601.874,2608.405,2783.307,2768.805,2693.444,2698.055,2711.038,2710.238,2674.677,2473.251,2529.205,2525.153,2355.744,2889.271,1841.356,2451.471,2442.061,2572.871,2631.971,2624.24,2679.981,2735.963,2670.971,2721.594,2674.437,2633.784,2675.85,2766.726,2585.88,2287.473,2711.704,2712.611,2710.345,2768.059,2765.979,2722.474,2690.085,2709.998,2691.284,2682.834,2645.06,2335.55,2425.997,2408.692,2444.013,2407.637,2457.313,2494.065,2491.222,2489.381,2413.648,2386.183,2362.289,2296.717,2466.158,2420.18,2438.106,2371.664,2375.728,2387.17,2386.465,2355.124,2177.6,2226.915,2046.736,2296.223,1659.032,2017.063,2299.747,2150.112,2227.056,2371.734,2310.672,2359.799,2409.137,2351.881,2396.474,2354.912,2319.083,2469.048,2254.098,2380.803,2331.864,2255.437,2415.833,2386.559,2437.424,2435.592,2397.249,2368.703,2369.761,2386.254,2329.021,2220.788,2270.445,2245.728,2273.152,2296.681,2271.99,2353.819,2358.615,2368.834,2253.399,2243.841,2194.187,2080.656,2096.206,2295.617,2261.803,2187.531,2196.746,2215.363,2222.355,2213.881,2037.179,2179.269,1977.58,2675.598,1473.35,1896.32,2123.776,1983.434,2075.258,2186.225,2114.28,2225.334,2258.593,2186.28,2290.528,2232.176,2338.53,1890.439,2309.744,2169.717,2129.015,2131.533,2322.836,2251.188,2294.444,2303.717,2237.693,2208.895,2226.894,2268.714,2185.648
1,1,1,1,24 - HFM St Ives,Online,Customer Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,27,26,37,12,22,22,18,3,16,20,21,24,23,30,18,27,22,31,18,26,26,23,30,14,25,13,24,22,28,27,22,45,33,111,135,151,138,152,173,186,179,159,162,201,179,175,107,63,82,112,129,115,116,138,130,114,115,105,98,191,70,81,105,103,147,119,110,122,122,44,40,127,124,139,132,114,89,108,144,122,139,132,119,122,141,113,139
1,1,1,1,24 - HFM St Ives,Online,Budget Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,24 - HFM St Ives,Retail,Customer Count,10322,11109,11822,11893,11526,11564,11075,11469,11291,10872,11058,10909,10907,11138,12175,12034,12314,12086,12294,12463,12880,12448,12393,12979,15913,11134,12024,12256,11692,12221,13117,12864,12655,12358,12443,11597,11727,11732,12019,12010,11808,11344,11689,11364,12383,11391,11399,11315,10944,10968,11059,10417,10111,10272,10928,10706,11277,11804,11850,11286,11441,11032,11382,11228,10587,11199,11983,12440,12589,13136,12527,12139,12194,12015,12415,13581,17967,9963,11429,12571,12776,12985,12941,12581,12829,12330,12115,12924,11641,11554,12128,11791,11135,10238,10650,10583,11176,10380,10156,10226,9558,9615,9708,9496,9461,9205,9924,10733,10969,10656,10752,10878,10922,11083,11239,11659,10941,11102,11305,11769,12514,12979,12577,12677,12774,12462,12201,12133,14766,11293,11572,11565,11988,12062,12790,12782,12879,12380,12131,11817,12070,11512,11889,11514,11224,11925,11081,11022,11533,11005,11014,10700,10342,10720,10769,10494,10512,10351,10631,10842,11141,11008,10886,11002,11188,10830,10732,10852,10863,10146,10889,11354,11754,11975,11905,12127,12268,11722,12143,11998,13832,13477,12358,11587,11295,11817,12984,12354,12673,12325,12390,13060,12868,15605,10632,9540,10893,9983,10223,10759,11913,10751,10872,10911,10436,10946,10954,10720,10629,10294,10573,11080,10998,10869,10732,11014,10333,8788,9826,10378,10228,10045,10848,11103,11276,10995,11059,11335,11277,11662,11447,11563,12152,13296,11170,10530,10795,10617,11367,11020,11368,10714,10787,10634,10649,10694,10752,12521,10378,10183,10951,10571,10937,9988,10084,10092,10028,10008,10260,10328,9051,9481,7083,7586,7898,8332,8284,8394,8862,9960,9197,9441,9698,9819,10408,9980,10246,10151,9863,10293,10105,9881,10038,9934,10650,13059,10268,11031,9842,9669,10141,10293,9780,9916,9832,9815,9547,9875,9740,9732,9699,10799,9300,9987,10316,9772,9622,9490,9214,8924,10010,9315,9352,9015,9255,10156,9987,9883,9930,9789,10072,10599,10127,10070,9895,9448,10166,10104,10381,10570,10460,11085,10966,11024,11086,10873,11687,14145,10607,10487,10730,11476,11252,11556,11235,11676,11380,10995,11267,11162,10646,10513,12460,10157,9931,11034,10454,11041,10283,10103,9883,9533,9870,9424,9786,9526,9885,10522,10339,10609,10568,10452,10586,10793,10341,11116,10527,9779,10653,11019,10882,11188,11034,11334,11095,10802,11014,12072,12094,16826,9598,10083,10723,10926,11818,11829,11710,11876,11435,11342,11541,11689,11650,13541,12022,10853,10384,10933,11366,11754,10658,10599,10594,10289,11154,10639,10367
1,1,1,1,24 - HFM St Ives,Retail,Budget Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8973.995,10015.355,9805.967,10044.411,10068.097,10184.108,10078.203,10079.993,10031.357,10015.039,10070.308,9884.08,9844.181,9774.175,10438.342,11051.031,11133.144,11365.692,11112.931,11133.775,11318.951,11033.871,11101.562,11121.985,11741.201,14244.487,10028.093,10763.425,10954.706,11426.434,11542.866,11514.864,11493.598,11144.303,11059.874,11032.924,10797.955,10554.248,10704.156,10152.526,10274.327,10423.183,10473.714,10002.617,10656.468,10002.301,9894.081,9831.549,9410.141,9561.629,9501.623,9450.776,9628.477,8070.049,8486.938,9004.529,9030.603,9051.858,9297.549,9201.044,9202.675,9158.356,9217.749,9268.521,9097.444,8996.48,9976.232,9915.982,10169.455,10244.887,10458.516,10226.319,10245.468,10415.577,10153.691,10215.875,10335.793,11345.814,9730.689,9775.562,10034.837,10080.967,10318.482,10676.4,10595.551,10576.016,10255.138,10177.578,10152.821,9936.968,9713.089,9828.171,9485.727,9168.718,9441.919,9369.581,9202.469,9806.992,9206.047,9106.631,9049.186,8662.063,8746.006,8801.226,8862.636,9128.158,9641.449,10313.619,10266.443,10405.286,10482.509,10377.999,10362.375,10369.979,10166.078,10379.674,10417.589,9881.941,10304.608,11070.678,11169.361,11532.881,11777.938,11527.234,11489.609,11663.675,11379.62,11966.729,12510.378,15990.61,10471.226,10791.755,11213.848,11237.715,11486.367,11983.622,11781.176,11824.683,11424.264,11305.895,11421.869,11137.36,10928.718,11479.954,10945.177,10410.105,10326.121,10117.899,10157.583,10810.388,10097.614,10033.468,9931.729,9500.416,9643.199,9714.949,9368.354
