,,,,,,,,,,,,Year,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026
,,,,,,,,,,,,Month,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7
Level0,Level1,Level2,Store ID,Store Company,Parent Dept,GL_Level0,GL_Level1,GL_Level2,GL_Level3,Account,Account Name,Values,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan
1000 - HFM Consolidated Group,1. Retail,AreaGroup1,10,10 - HFM Pennant Hills,910,01-P&L,01-Sales,01-Sales,01-Sales,40020,Sales - Normal,Actual,"1,054,885.18","938,640.29","931,088.13","1,313,142.72","1,041,361.27","1,213,401.37","1,267,238.88","1,056,806.52","927,235.57","1,108,980.74","862,659.09","1,052,979.17","1,078,391.36","916,775.70","910,447.03","1,243,655.75","1,097,155.69","1,204,654.71","1,342,942.14","1,028,646.48","954,249.34","1,173,730.66","930,158.77","844,509.19","1,067,788.95","877,308.33","863,106.78","1,217,595.29","1,052,650.69","1,227,259.47","1,289,651.95","1,031,431.89","1,024,331.95","1,132,508.73","862,668.37","846,164.43","1,107,043.54","920,642.61","964,428.47","1,278,655.11","1,080,039.06","1,216,103.52","1,291,625.35","1,065,447.92","982,534.81","1,163,770.16","888,969.82","851,160.28","1,079,681.41","914,578.98","915,540.99","1,249,878.40","1,058,662.82","1,300,140.41","1,354,322.27","1,066,067.52","1,329,767.40","1,449,248.01","1,113,216.75","1,046,999.22","1,264,480.12","1,040,006.51","1,027,562.29","1,344,154.44","1,141,245.15","1,382,079.64","1,379,700.34","1,054,937.67","940,362.96","1,229,486.16","950,358.30","894,833.70","1,156,935.09","964,473.32","1,054,164.18","1,357,563.04","1,022,994.42","1,330,559.34","1,397,854.39","1,036,082.42","966,642.83","1,213,366.67","949,317.95","1,074,737.82","1,085,977.79","916,721.96","919,161.79","1,220,214.05","1,125,586.84","1,421,694.18","1,389,776.74","1,108,614.41","1,004,235.75","1,249,069.70","942,678.65","885,599.04","1,238,394.09","1,033,446.60","782,062.11",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-45,598.34","45,196.54","-16,330.11","-13,530.62","-13,811.06","-20,344.15","-14,663.03","-29,247.68","-30,281.79","-44,744.47","-25,343.94","-35,385.29","-33,362.47","-19,805.46","-26,974.42","-19,313.46","-22,851.53","-26,245.02","-29,097.77","-9,118.61",0.00
1000 - HFM Consolidated Group,1. Retail,AreaGroup1,10,10 - HFM Pennant Hills,910,01-P&L,01-Sales,01-Sales,01-Sales,40030,Sales - Under / (Over),Actual,-244.79,59.13,602.25,"-1,115.49",-997.29,"-1,512.93",930.16,305.24,-267.72,-427.98,-338.98,"-4,108.00",-279.98,-341.25,-37.10,"6,929.35",-486.00,-547.70,13.40,"-2,047.55","-1,917.91",-130.00,-433.90,"-3,437.35","1,553.71",-50.00,21.60,-308.20,-193.50,"-2,122.35",-150.67,"1,022.11",892.07,-216.10,"4,091.70","1,483.76",277.00,-125.75,-278.99,"-4,219.00","-6,518.28","-1,042.58",-675.03,-145.55,-988.67,22.89,-225.87,-22.00,-237.99,-297.90,128.52,-50.00,"-5,860.37","-1,557.17",-193.67,106.33,"-1,424.82",-739.85,114.84,-31.72,-100.00,-5.00,-144.94,-88.58,0.00,-743.11,-13.63,224.38,-14.91,-368.10,"-1,199.61",-178.63,96.39,46.38,-51.86,-233.77,-50.13,-239.13,,408.08,-1.00,-32.44,-67.00,18.90,-265.83,-32.67,-107.12,141.20,210.65,231.42,645.67,369.47,385.51,726.68,-112.08,24.75,"-3,516.74",-71.68,0.00,0.00,0.00,0.00,"-1,755.09","-4,149.33",-95.23,55.74,-52.50,18.71,-268.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-41.35,-61.10,84.31,-66.03,7.01,153.83
1000 - HFM Consolidated Group,1. Retail,AreaGroup1,10,10 - HFM Pennant Hills,910,01-P&L,01-Sales,01-Sales,02-Sales Other,40040,Sales - Other,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,246.38",,,"-14,153.40","-6,311.53","-8,063.50",,"-7,093.12","2,676.04",,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-123.49,-190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1000 - HFM Consolidated Group,1. Retail,AreaGroup1,10,10 - HFM Pennant Hills,910,01-P&L,02-Cost of sales,03-COGS,20-COGS,50010,Purchases,Actual,"-697,935.80","-652,109.00","-660,676.40","-901,738.28","-731,810.54","-867,959.30","-753,977.47","-682,317.52","-638,760.49","-665,567.99","-555,828.75","-665,336.90","-706,301.26","-589,309.34","-615,807.56","-826,064.52","-759,156.43","-790,960.54","-831,102.05","-691,145.56","-613,371.97","-739,492.73","-577,280.60","-542,525.39","-680,214.44","-566,806.84","-589,442.76","-799,630.41","-723,236.37","-832,058.54","-786,181.56","-670,042.64","-684,172.49","-714,352.51","-568,680.71","-554,708.70","-715,811.84","-602,090.62","-668,557.10","-840,285.93","-754,582.16","-844,377.18","-783,804.74","-686,362.38","-640,156.99","-763,794.99","-591,644.01","-555,342.81","-698,479.23","-603,236.98","-614,014.18","-812,742.69","-734,593.39","-878,683.52","-852,659.17","-682,572.39","-880,917.96","-932,657.32","-707,480.14","-683,338.77","-804,549.47","-683,983.55","-706,073.27","-906,770.77","-807,212.60","-928,600.06","-857,913.37","-694,176.54","-622,844.61","-791,671.10","-620,196.31","-588,694.59","-755,007.58","-604,595.67","-685,422.30","-916,672.97","-715,606.70","-914,306.65","-863,434.10","-672,212.40","-622,425.31","-810,777.41","-605,646.86","-713,548.40","-695,478.57","-613,729.56","-652,498.76","-788,570.78","-819,416.64","-950,236.79","-888,185.24","-749,431.26","-697,956.36","-792,673.79","-628,090.39","-586,906.43","-848,796.70","-728,056.87","-562,766.40",0.00,0.00,0.00,0.00,0.00,"-3,148.45",-263.63,0.00,-176.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1000 - HFM Consolidated Group,1. Retail,AreaGroup1,10,10 - HFM Pennant Hills,910,01-P&L,02-Cost of sales,03-COGS,20-COGS,50020,Direct Cost Applied,Actual,"698,955.48","651,899.79","661,427.09","902,542.29","724,490.66","868,045.71","753,195.96","681,736.69","638,703.36","665,843.09","555,730.11","665,764.74","705,967.85","589,442.56","613,379.65","825,995.60","757,976.07","790,259.03","828,383.63","691,156.60","613,448.21","739,096.93","577,025.46","542,184.05","680,433.40","566,640.56","589,651.81","799,613.36","723,135.59","832,302.58","786,745.27","669,998.41","684,104.97","715,231.55","568,744.01","555,582.02","715,395.45","602,228.65","656,790.10","841,159.93","754,244.37","844,753.42","784,428.72","686,474.63","639,795.87","762,960.67","591,784.41","555,090.64","698,916.91","603,036.20","614,171.74","812,781.76","734,332.42","878,240.32","852,490.28","682,439.41","879,682.70","932,762.23","706,643.09","680,649.74","803,275.28","683,201.47","705,860.86","906,194.28","806,665.75","928,563.33","855,519.63","694,609.79","622,807.15","790,914.51","620,295.24","588,695.87","755,118.85","604,207.34","685,426.57","916,495.99","715,578.80","914,764.60","863,608.30","671,949.96","622,538.00","810,706.66","604,275.82","713,287.80","695,389.44","613,547.73","652,096.55","788,718.32","819,356.94","950,354.13","887,536.49","749,084.90","697,941.56","792,512.92","627,745.96","586,505.26","850,845.52","728,031.77","562,483.45",0.00,0.00,"9,787.57",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1000 - HFM Consolidated Group,1. Retail,AreaGroup1,10,10 - HFM Pennant Hills,910,01-P&L,02-Cost of sales,03-COGS,20-COGS,50030,COGS - Resalable,Actual,"-667,762.22","-613,962.17","-606,900.65","-840,332.13","-669,816.68","-765,453.28","-784,438.45","-633,076.03","-550,797.68","-667,564.45","-513,085.22","-626,516.49","-649,990.10","-560,545.91","-556,088.42","-772,168.10","-676,748.62","-732,017.23","-807,886.88","-618,503.28","-572,911.55","-690,816.98","-556,768.23","-507,989.85","-645,051.23","-535,099.03","-534,975.39","-753,085.08","-650,467.71","-744,991.59","-776,794.25","-625,214.82","-614,305.46","-686,784.30","-522,086.30","-521,547.64","-674,473.15","-555,063.42","-593,583.76","-787,094.94","-674,362.05","-747,196.99","-792,001.19","-644,649.55","-591,336.86","-696,972.53","-532,858.60","-518,503.37","-649,753.72","-560,161.09","-562,414.82","-763,960.97","-650,351.41","-797,750.29","-820,606.40","-638,623.34","-774,648.27","-847,985.81","-666,728.79","-633,207.52","-760,212.46","-632,088.76","-625,358.56","-822,372.14","-702,119.84","-834,286.98","-819,506.78","-634,852.90","-570,203.29","-739,929.81","-566,478.80","-540,735.79","-692,224.10","-579,861.78","-625,778.16","-826,193.98","-627,064.98","-804,635.34","-822,173.85","-614,167.95","-565,290.03","-723,273.80","-556,173.05","-647,007.46","-652,772.54","-561,850.28","-556,634.92","-751,029.98","-712,180.66","-867,255.80","-858,105.35","-677,942.54","-612,255.25","-763,111.27","-568,624.84","-550,680.97","-795,647.63","-663,146.66","-665,466.62","-814,658.85","-705,100.31","-873,934.32","-848,855.81","-733,353.07","-739,541.51","-813,243.76","-650,978.23","-595,801.13","-739,556.70","-666,741.57","-651,563.67","-885,691.44","-758,995.65","-892,696.71","-881,986.27","-718,203.69","-660,153.40","-844,376.66","-594,605.16","-580,081.11","-724,356.00","-599,879.77","-618,752.22","-796,893.62","-705,975.44","-858,588.81","-821,691.01"
1000 - HFM Consolidated Group,1. Retail,AreaGroup1,10,10 - HFM Pennant Hills,910,01-P&L,02-Cost of sales,03-COGS,20-COGS,50060,COGS - Adjustments,Actual,-247.59,-48.11,-60.05,-216.03,-302.44,-270.51,,-12.71,-14.00,-399.00,-302.08,-925.60,-131.25,-178.69,,-358.15,,,,0.00,,,,"-6,614.67",-34.04,-18.36,,,,-132.35,"-11,032.21",0.00,-179.09,,-617.15,,,,,0.00,,-49.45,,,-12.09,,,-678.00,,,,,,,70.61,-26.36,"-11,767.00","6,076.52","1,362.92","6,864.28",,,,,-230.79,,,,,,-9.38,,,,30.04,-2.79,42.00,"-2,168.06","7,631.51","2,174.05",-53.03,182.29,"3,837.97",-23.00,-43.22,,"2,608.96",29.00,-376.11,"-2,511.23","2,499.13",774.21,"1,145.99",987.20,805.38,"4,800.72","26,390.17","22,847.85","22,049.54","-88,238.35","-42,596.82","-37,435.78","-33,738.54","61,704.74","-28,088.95","-54,844.55","-887,795.19","-207,506.07","-59,201.33","-97,926.02","-11,473.04","4,371.77",-515.25,"9,967.28","-3,568.06","8,456.83",-428.44,"16,797.52","23,070.99","1,704.51","11,113.90","8,602.60","13,492.96","14,997.97","22,283.79","5,270.83","-7,758.92"
