postcode,state,total_population,demographic_score,pct_professional,pct_high_income_hh,median_hh_income_weekly,pct_degree,seifa_irsad_decile,pct_wfh,median_age,avg_household_size,unemployment_pct,labour_force_participation_pct,median_rent_weekly,rank
2063,NSW,6488,92.14,67.36,58.49,3903.91,52.9,10.0,58.1,45.08,2.87,3.72,59.62,1053.74,1
2092,NSW,7377,91.23,64.47,63.51,4153.32,46.28,9.95,55.03,42.29,3.15,3.28,63.76,1014.74,2
2043,NSW,9736,91.18,69.32,54.14,2943.99,62.13,9.95,63.51,35.33,2.05,3.3,81.33,622.0,3
2025,NSW,7451,90.94,72.82,51.0,3133.87,58.62,10.0,59.93,42.4,2.21,3.17,63.42,691.37,4
2073,NSW,17218,90.86,65.46,58.58,3621.79,56.54,9.95,55.95,41.67,3.04,4.3,64.86,868.51,5
2041,NSW,15579,90.48,70.39,53.11,3182.63,56.87,9.97,61.09,43.43,2.26,3.94,67.54,604.33,6
2069,NSW,15718,90.21,65.37,57.99,3588.39,55.01,9.98,56.09,42.3,2.99,4.14,63.15,905.17,7
2023,NSW,10832,90.16,66.36,57.31,3666.45,54.21,10.0,53.88,39.97,2.55,3.12,64.34,803.67,8
2028,NSW,5225,89.78,69.73,51.97,3080.13,58.48,10.0,60.07,39.28,2.08,3.48,66.44,749.65,9
2021,NSW,15322,89.71,69.97,50.53,3101.57,59.89,10.0,59.18,38.0,2.1,3.61,72.28,682.07,10
2065,NSW,32478,89.64,68.57,52.03,2960.12,61.5,9.98,60.27,38.19,2.18,3.21,73.59,625.84,11
2039,NSW,8553,89.59,67.58,55.35,3272.6,54.45,9.94,60.22,39.95,2.32,3.39,72.6,664.4,12
2095,NSW,16916,89.05,67.23,54.32,3260.77,55.06,9.98,58.72,39.0,2.2,3.53,69.23,759.47,13
2030,NSW,15644,88.85,65.49,58.6,3761.99,49.7,9.92,50.99,42.91,2.77,3.6,60.15,1020.03,14
2088,NSW,28334,88.73,66.54,53.4,3340.8,54.83,9.97,58.98,44.79,2.39,3.53,61.91,870.94,15
2062,NSW,8450,88.5,67.41,51.54,3041.84,58.09,10.0,60.33,39.67,2.24,3.14,72.08,589.5,16
2027,NSW,8665,88.01,70.03,50.45,3149.03,53.53,10.0,57.36,47.25,1.97,3.3,60.28,768.87,17
2024,NSW,12133,88.0,66.26,55.5,3340.29,51.58,9.95,56.17,38.8,2.48,2.45,66.62,695.35,18
2070,NSW,16108,87.85,66.48,53.29,3211.49,55.68,9.97,55.31,42.51,2.9,4.15,60.95,805.26,19
2061,NSW,6613,87.63,70.68,47.05,2768.44,58.28,9.82,63.18,46.14,1.74,4.33,61.68,630.42,20
2090,NSW,13715,87.06,67.71,49.96,2881.71,56.83,10.0,59.22,41.63,2.14,3.45,68.79,652.23,21
2060,NSW,16169,86.78,67.57,47.36,2661.46,61.22,9.97,61.49,39.82,1.95,3.8,70.03,591.15,22
2074,NSW,23815,86.74,63.28,55.78,3298.24,51.82,9.92,56.19,45.6,2.87,3.95,60.15,811.82,23
2066,NSW,33862,86.7,64.19,53.14,3245.64,54.99,9.91,55.22,39.25,2.58,3.56,69.76,689.46,24
2094,NSW,7119,86.35,65.22,54.04,3157.36,50.6,10.0,56.49,41.01,2.43,3.22,68.16,683.41,25
2068,NSW,18686,86.33,62.91,54.98,3494.86,50.1,9.81,55.62,42.48,2.83,3.68,63.9,844.08,26
2071,NSW,15154,85.7,63.64,52.39,3122.56,54.97,9.97,54.03,42.99,2.93,4.54,59.11,860.23,27
2026,NSW,33433,85.63,64.68,51.46,3045.95,53.75,9.94,56.69,34.39,2.28,3.9,71.36,718.0,28
2038,NSW,9952,85.43,66.71,49.92,2824.42,55.65,9.86,56.14,38.64,2.26,3.76,70.98,612.3,29
2110,NSW,9841,84.94,63.7,55.38,3545.91,45.32,9.94,48.92,47.22,2.77,3.38,56.1,712.31,30
2119,NSW,12785,84.71,61.75,54.12,3193.47,52.32,9.83,53.19,43.77,3.02,4.28,61.3,667.09,31
4065,QLD,11752,84.64,63.25,56.24,3434.76,55.73,9.95,32.49,37.84,2.84,3.29,73.09,494.42,32
2089,NSW,11970,84.48,65.5,47.72,2621.52,56.61,10.0,59.36,39.21,1.99,3.85,71.97,572.11,33
2075,NSW,21664,84.48,61.57,53.68,3198.49,51.02,9.89,54.32,44.28,2.97,4.2,60.33,913.44,33
2015,NSW,11833,84.34,64.28,49.5,2771.38,55.97,9.88,56.99,34.36,2.08,3.36,80.6,581.37,35
2603,ACT,10312,83.85,65.08,56.38,3527.63,58.86,9.97,15.1,42.28,2.44,3.17,69.05,597.71,36
2072,NSW,9719,83.03,62.93,47.63,2814.62,56.13,9.87,54.74,40.64,2.71,5.03,62.69,745.77,37
2600,ACT,8273,82.57,65.98,54.17,3242.48,58.84,10.0,15.31,45.67,2.3,2.45,62.06,557.89,38
2040,NSW,22810,82.56,63.55,51.19,2829.2,48.33,9.82,55.52,39.05,2.44,3.99,70.64,595.78,39
2093,NSW,24441,82.45,58.42,55.24,3389.88,46.47,9.59,52.55,41.06,2.82,3.24,68.2,843.3,40
2029,NSW,11384,82.16,63.43,49.48,2979.04,48.12,9.96,52.15,41.59,2.4,3.29,63.0,702.45,41
2076,NSW,26821,81.84,60.03,52.76,3048.2,48.84,9.72,52.12,44.51,2.94,4.08,60.03,734.37,42
2769,NSW,16624,81.84,52.69,63.44,3313.5,48.87,8.95,51.8,35.48,3.57,4.26,71.75,632.95,42
2125,NSW,16618,81.8,58.73,56.44,3136.25,47.07,9.57,50.27,43.64,3.12,3.8,63.0,709.95,44
2064,NSW,9456,81.79,61.59,47.01,2736.33,56.26,9.68,55.09,38.46,2.53,5.27,67.93,623.09,45
2010,NSW,26444,81.15,65.34,42.78,2555.48,55.65,9.7,54.79,36.54,1.77,5.2,71.78,570.35,46
2034,NSW,20236,80.94,60.22,51.02,3009.77,50.4,9.49,50.24,37.22,2.36,4.21,69.92,651.03,47
2022,NSW,13515,80.71,61.48,47.63,2806.61,50.95,9.77,53.18,36.72,2.26,4.11,66.17,714.46,48
2031,NSW,33832,80.54,61.28,47.94,2725.08,51.98,9.92,50.59,37.3,2.31,3.48,69.5,607.54,49
4069,QLD,36224,80.34,60.61,53.79,3124.73,51.28,9.8,32.54,43.02,2.96,4.16,65.45,560.79,50
2047,NSW,12005,80.22,61.32,50.3,2830.57,46.01,9.78,52.21,42.6,2.32,3.1,66.09,609.36,51
2126,NSW,19292,80.21,57.14,53.16,2915.7,48.73,9.62,52.73,43.56,3.14,4.54,62.43,705.37,52
2096,NSW,15193,80.05,57.49,53.61,3071.38,46.24,9.66,49.88,37.92,2.53,2.79,72.51,672.48,53
2048,NSW,7961,79.39,61.74,44.07,2547.07,52.51,9.82,54.13,37.1,2.27,4.25,72.11,548.48,54
2042,NSW,19815,79.15,61.76,43.56,2369.6,54.18,9.87,54.51,34.47,2.1,4.27,74.43,546.43,55
2009,NSW,12666,79.13,60.21,46.21,2691.42,51.77,9.56,52.86,38.72,2.08,5.41,66.99,654.91,56
2050,NSW,10690,78.8,63.4,39.18,2419.73,55.79,9.92,52.62,33.94,2.16,5.49,74.4,525.83,57
2121,NSW,34640,78.21,58.98,43.87,2445.28,55.14,9.81,52.5,39.34,2.85,5.19,63.65,554.21,58
2105,NSW,2582,78.15,58.84,50.37,3071.1,40.13,9.91,47.77,51.9,2.57,3.28,56.44,838.24,59
4060,QLD,13739,77.91,57.77,53.18,3194.62,49.25,9.6,29.52,37.85,2.88,3.73,73.03,488.59,60
2120,NSW,22286,77.24,56.05,50.56,2734.01,46.91,9.57,49.45,42.23,2.91,4.25,64.91,584.94,61
2049,NSW,12669,77.13,60.39,43.16,2342.0,49.56,9.75,55.17,36.41,2.22,4.11,70.08,485.9,62
2130,NSW,8302,76.89,60.01,40.59,2377.14,52.79,9.68,54.58,37.0,2.18,4.33,71.38,487.42,63
2605,ACT,12503,76.86,60.4,53.41,2948.39,53.98,9.67,12.92,42.57,2.61,3.51,63.66,497.54,64
2612,ACT,18964,76.54,65.78,45.19,2640.93,57.75,9.96,11.47,33.19,2.06,3.15,75.14,465.26,65
4064,QLD,12899,76.45,60.35,46.32,2706.49,53.98,9.88,27.96,33.52,2.41,3.86,77.03,469.16,66
2108,NSW,2268,76.44,59.38,49.62,2758.44,42.21,9.46,45.7,57.47,2.27,3.43,51.65,814.29,67
2011,NSW,18179,76.15,64.32,35.44,2161.78,52.8,9.66,54.16,40.61,1.52,5.23,67.98,520.91,68
2037,NSW,16723,75.99,62.67,37.99,2091.02,53.51,9.44,55.21,37.51,2.02,5.71,64.54,496.5,69
2604,ACT,13047,75.9,64.76,47.85,2619.77,55.34,9.67,12.09,39.26,2.13,2.98,69.37,505.72,70
