store,locality,store_postcode,catchment_postcodes,catchment_pop,pct_professional_catchment,pct_degree_catchment,median_hh_income_weekly_catchment,pct_wfh_catchment,pct_high_income_hh_catchment,seifa_irsad_score_catchment,seifa_irsad_decile_catchment,median_age_catchment,median_rent_weekly_catchment,median_mortgage_monthly_catchment,avg_household_size_catchment,labour_force_participation_pct_catchment,unemployment_pct_catchment
Albury,Albury,2640,2,57897,30.71,19.24,1577.79,9.17,23.15,969.6,4.27,40.69,300.49,1444.22,2.4,61.44,5.07
Bondi,Bondi Beach,2026,41,671592,58.88,50.08,2620.3,50.35,44.9,1060.57,9.37,37.97,627.9,3131.8,2.23,66.92,4.83
Bondi Westfield,Bondi Junction,2022,51,822605,59.47,50.08,2635.53,51.17,45.4,1062.86,9.41,38.2,620.81,3127.5,2.25,67.3,4.65
Boronia Park,Gladesville,2111,70,1243590,54.56,46.63,2429.87,47.47,41.84,1039.38,8.91,38.63,576.56,2880.05,2.5,63.6,5.23
Bowral,Bowral,2576,2,34041,40.12,26.1,1845.28,25.75,31.87,1050.82,6.3,48.84,476.49,2340.72,2.51,56.32,3.0
Broadway,Glebe (NSW),2037,73,1238286,56.05,46.84,2520.98,48.36,43.31,1049.29,9.05,38.64,598.63,3016.57,2.38,64.94,4.85
Cammeray,Cammeray,2062,60,965632,60.86,50.58,2841.92,52.61,48.34,1077.03,9.57,39.44,677.56,3281.82,2.4,67.09,4.28
Clayfield,Clayfield,4011,34,634402,47.59,39.46,2272.8,22.05,38.68,1057.18,8.22,36.96,436.95,2162.53,2.4,70.48,4.57
Cooks Hill,Cooks Hill,2300,27,354557,36.31,24.56,1831.18,21.75,31.03,1008.36,5.53,40.34,409.06,1986.44,2.49,62.26,4.83
Drummoyne,Drummoyne,2047,72,1221904,56.23,48.09,2485.07,48.89,42.7,1049.97,9.15,38.5,590.3,2937.79,2.4,65.02,5.0
Dural,Dural (Hornsby - NSW),2158,17,435656,54.1,45.71,2761.02,47.64,49.06,1084.32,9.21,41.11,628.3,2948.33,3.0,63.85,4.41
Erina,Erina,2250,1,73031,35.92,22.39,1786.33,27.83,29.87,1010.19,5.66,42.42,409.13,2000.79,2.56,59.35,4.89
Isle of Capri,Surfers Paradise,4217,7,325678,32.37,21.6,1768.72,13.54,26.88,1004.97,5.46,41.01,508.86,1899.26,2.57,61.13,6.12
Lane Cove,Lane Cove,2066,65,1125409,58.74,50.09,2611.17,51.14,44.92,1063.68,9.46,39.1,622.43,3041.96,2.43,65.93,4.75
Leichhardt,Leichhardt (NSW),2040,76,1337707,54.35,46.2,2408.8,47.01,41.49,1041.23,8.87,38.26,572.89,2888.81,2.41,64.41,5.14
Lindfield,Lindfield,2070,37,687340,60.28,50.64,2901.44,52.64,49.41,1087.48,9.6,41.26,700.14,3294.87,2.65,64.68,4.1
Majura Park,Canberra Airport,2609,11,143292,58.32,52.06,2676.54,12.35,46.93,1087.99,9.58,38.31,474.94,2306.1,2.34,69.13,3.77
Manly,Manly (NSW),2095,27,416916,59.89,48.09,3083.72,51.92,52.01,1095.6,9.42,41.32,753.32,3460.85,2.57,66.63,3.43
Miranda,Miranda (NSW),2228,31,665887,39.41,29.42,2070.33,34.5,35.86,1006.14,6.9,39.87,525.86,2535.4,2.79,57.85,5.29
Mona Vale,Mona Vale,2103,11,140572,46.48,32.73,2603.88,38.53,45.87,1077.11,8.23,43.95,704.33,3109.96,2.71,64.19,3.2
Mosman,Mosman,2088,57,905752,61.7,51.87,2838.09,53.13,48.08,1076.08,9.67,38.86,667.16,3283.65,2.34,67.39,4.4
Orange,Orange,2800,1,49125,34.19,21.69,1837.2,10.98,29.95,1007.58,5.04,38.58,353.6,1720.24,2.56,63.45,3.67
Randwick,Randwick,2031,45,742112,58.96,49.73,2610.23,50.6,44.95,1059.92,9.38,37.97,620.42,3122.02,2.25,67.11,4.78
St Ives,St Ives (NSW),2075,17,302969,58.19,48.9,2906.77,50.81,50.16,1090.84,9.52,42.32,728.95,3220.82,2.9,62.95,4.17
West End,West End (Brisbane - Qld),4101,37,659973,50.91,43.5,2354.38,23.8,40.22,1065.85,8.82,36.39,442.25,2208.79,2.42,71.22,4.64
Willoughby,North Willoughby,2068,46,788228,59.9,49.59,2878.25,51.66,48.71,1078.99,9.5,40.44,694.98,3312.51,2.49,65.89,4.1
