Store Name,CBAS_Short_Name,State,Retail_SQM,Annual_Occupancy_Cost,Annual_Labour_Cost,Fitout_Capital_Total,Store_Opening_Date,Lease_Expiry_Date,EBITDA_FY24,Notes
Harris Farm Markets Majura Park,Majura Park,ACT,2500,,,,,,,Ramp-up store (2025 opening)
Harris Farm Markets Albury,Albury,NSW,4523,,,,,,,
Harris Farm Markets Bondi,Bondi,NSW,1020,,,,,,,
Harris Farm Markets Bondi Westfield,Bondi Westfield,NSW,1795,,,,,,,
Harris Farm Markets Boronia Park,Boronia Park,NSW,1154,,,,,,,
Harris Farm Markets Bowral,Bowral,NSW,1406,,,,,,,
Harris Farm Markets Broadway,Broadway,NSW,1641,,,,,,,
Harris Farm Markets Cammeray,Cammeray,NSW,875,,,,,,,
Harris Farm Markets Cooks Hill,Cooks Hill,NSW,2649,,,,,,,
Harris Farm Markets Drummoyne,Drummoyne,NSW,2206,,,,,,,
Harris Farm Markets Dural,Dural,NSW,1435,,,,,,,Ramp-up store (2025 opening)
Harris Farm Markets Erina,Erina,NSW,1325,,,,,,,
Harris Farm Markets Lane Cove,Lane Cove,NSW,2450,,,,,,,
Harris Farm Markets Leichhardt,Leichhardt,NSW,1692,,,,,,,
Harris Farm Markets Lindfield,Lindfield,NSW,1379,,,,,,,
Harris Farm Markets Manly,Manly,NSW,1422,,,,,,,
Harris Farm Markets Marrickville,Marrickville,NSW,1800,,,,,,,Ramp-up store (2025 opening)
Harris Farm Markets Miranda,Miranda,NSW,1116,,,,,,,Ramp-up store (2025 opening)
Harris Farm Markets Mona Vale,Mona Vale,NSW,874,,,,,,,
Harris Farm Markets Mosman,Mosman,NSW,1674,,,,,,,
Harris Farm Markets Orange,Orange,NSW,1114,,,,,,,
Harris Farm Markets Pennant Hills,Pennant Hills,NSW,839,,,,,,,
Harris Farm Markets Potts Point,Potts Point,NSW,995,,,,,,,
Harris Farm Markets Randwick,Randwick,NSW,1107,,,,,,,
Harris Farm Markets Redfern,Redfern,NSW,1500,,,,,,,Ramp-up store (2025 opening)
Harris Farm Markets Rose Bay,Rose Bay,NSW,1085,,,,,,,
Harris Farm Markets St Ives,St Ives,NSW,1246,,,,,,,
Harris Farm Markets Willoughby,Willoughby,NSW,859,,,,,,,
Harris Farm Markets Clayfield,Clayfield,QLD,1073,,,,,,,
Harris Farm Markets Isle of Capri,Isle of Capri,QLD,1922,,,,,,,
Harris Farm Markets West End,West End,QLD,2210,,,,,,,
