postcode,region_name,market_share_pct,market_size_dollars,customer_penetration_pct,spend_per_customer,spend_per_transaction,transactions_per_customer,nearest_store,distance_km,distance_tier,yoy_share_pct,share_trend_pp,period,yoy_period
2000,Sydney,4.222,297936.0,8.077,136.46,57.44,2.38,Broadway,0.0,Core (0-3km),3.846,0.376,202512,202412
2007,Ultimo,5.269,98146.0,16.018,78.4,35.59,2.2,Leichhardt,0.0,Core (0-3km),4.857,0.412,202512,202412
2008,Chippendale,5.656,138657.0,16.106,90.92,40.49,2.25,Leichhardt,1.3,Core (0-3km),5.849,-0.193,202512,202412
2009,Pyrmont,5.257,190801.0,16.063,107.88,53.15,2.03,Drummoyne,0.0,Core (0-3km),5.394,-0.137,202512,202412
2010,Surry Hills,8.262,630194.0,22.71,114.54,47.39,2.42,Bondi Westfield,0.0,Core (0-3km),8.086,0.176,202512,202412
2011,Potts Point,16.171,1015674.0,39.713,152.71,41.83,3.65,Bondi Westfield,1.35,Core (0-3km),15.243,0.928,202512,202412
2015,Alexandria,4.29,152455.0,12.67,116.73,62.24,1.88,Leichhardt,2.79,Core (0-3km),3.753,0.537,202512,202412
2016,Redfern,8.457,319128.0,25.453,106.43,44.15,2.41,Bondi Westfield,1.66,Core (0-3km),8.422,0.035,202512,202412
2017,Waterloo (NSW),3.115,224463.0,11.273,81.89,46.52,1.76,Randwick,2.37,Core (0-3km),2.391,0.724,202512,202412
2018,Rosebery (NSW),2.281,122997.0,11.07,70.97,39.53,1.8,Randwick,4.12,Primary (3-5km),1.523,0.758,202512,202412
2019,Botany,3.198,129627.0,14.017,89.63,49.21,1.82,Miranda,6.67,Secondary (5-10km),1.518,1.68,202512,202412
2020,Mascot,1.593,81280.0,7.072,67.59,37.24,1.82,Randwick,4.96,Primary (3-5km),0.86,0.733,202512,202412
2021,Paddington (NSW),8.668,418365.0,23.52,147.53,62.5,2.36,Randwick,0.0,Core (0-3km),8.92,-0.252,202512,202412
2022,Bondi Junction,9.578,461794.0,29.611,135.92,48.28,2.82,Randwick,1.72,Core (0-3km),9.729,-0.151,202512,202412
2023,Bellevue Hill,13.084,507923.0,37.201,170.56,60.69,2.81,Bondi,0.0,Core (0-3km),12.878,0.206,202512,202412
2024,Bronte,12.808,501452.0,33.507,180.72,67.15,2.69,Bondi,2.71,Core (0-3km),12.694,0.114,202512,202412
