short_name,pos_name,department,revenue,initial_gp,shrinkage,final_gp,gpm_pct,shrinkage_pct,final_gp_pct,revenue_share_pct
Pennant Hills,10 - HFM Pennant Hills,10 - Fruit & Vegetables,6457784.830000017,2654032.806900017,-373626.67000000004,2282784.6269000163,41.1,-5.79,35.35,56.94
Pennant Hills,10 - HFM Pennant Hills,20 - Grocery,1441755.719999991,580081.3268999914,85981.22000000003,665900.5968999914,40.23,5.96,46.19,12.71
Pennant Hills,10 - HFM Pennant Hills,30 - Perishable,1706113.7199999872,729264.5593999873,31811.880000000023,760832.2193999874,42.74,1.86,44.59,15.04
Pennant Hills,10 - HFM Pennant Hills,40 - Flowers,513129.86,257579.9100999999,-130049.33000000002,127530.64009999993,50.2,-25.34,24.85,4.52
Pennant Hills,10 - HFM Pennant Hills,50 - Proteins,434308.39999999723,161004.4592999973,6447.259999999999,167684.5592999973,37.07,1.48,38.61,3.83
Pennant Hills,10 - HFM Pennant Hills,60 - Bakery,789033.7599999929,257477.10919999355,264132.29000000004,521059.4291999936,32.63,33.48,66.04,6.96
Pennant Hills,10 - HFM Pennant Hills,80 - Service/Counter,0.0,0.0,0.0,0.0,,,,0.0
St Ives,24 - HFM St Ives,10 - Fruit & Vegetables,9616249.290000036,3838935.810900035,-653396.7100000001,3186133.9909000355,39.92,-6.79,33.13,51.59
St Ives,24 - HFM St Ives,20 - Grocery,2196271.869999985,884173.3289999856,113155.86,996332.3689999859,40.26,5.15,45.36,11.78
St Ives,24 - HFM St Ives,30 - Perishable,2487735.6799999895,1140610.5016999897,-70791.21000000005,1069692.5486999894,45.85,-2.85,43.0,13.35
St Ives,24 - HFM St Ives,40 - Flowers,659966.0799999998,307650.34809999994,-160303.96,147290.2780999999,46.62,-24.29,22.32,3.54
St Ives,24 - HFM St Ives,50 - Proteins,3009469.959999999,542071.4693999988,-7566.260000000033,534607.7593999987,18.01,-0.25,17.76,16.14
St Ives,24 - HFM St Ives,60 - Bakery,671753.9199999939,224075.600799994,227260.59999999998,450625.05079999403,33.36,33.83,67.08,3.6
St Ives,24 - HFM St Ives,70 - Liquor,0.0,0.0,0.0,0.0,,,,0.0
St Ives,24 - HFM St Ives,80 - Service/Counter,9.31,-11.76,0.0,-11.76,-126.32,0.0,-126.32,0.0
Mosman,28 - HFM Mosman,10 - Fruit & Vegetables,12819665.490000095,5367233.034200102,-612389.3699999998,4752490.524200102,41.87,-4.78,37.07,42.71
Mosman,28 - HFM Mosman,20 - Grocery,3656926.5099999723,1512967.0682999732,135714.09999999995,1648796.188299973,41.37,3.71,45.09,12.18
Mosman,28 - HFM Mosman,30 - Perishable,5062548.230000051,2295052.4784000507,131815.27,2424919.6622000514,45.33,2.6,47.9,16.87
Mosman,28 - HFM Mosman,40 - Flowers,831313.6,423908.7684999999,-169975.28999999998,253923.8584999999,50.99,-20.45,30.54,2.77
Mosman,28 - HFM Mosman,50 - Proteins,6571471.309999989,1823256.1891999906,314735.73999999993,2137934.4991999906,27.75,4.79,32.53,21.9
Mosman,28 - HFM Mosman,60 - Bakery,1070608.500000003,343228.7264000047,373368.17000000004,716247.3364000047,32.06,34.87,66.9,3.57
Mosman,28 - HFM Mosman,80 - Service/Counter,0.0,0.0,0.0,0.0,,,,0.0
Willoughby,32 - HFM Willoughby,10 - Fruit & Vegetables,8139004.820000024,3446555.916200025,-492229.18999999994,2952964.0462000254,42.35,-6.05,36.28,57.14
Willoughby,32 - HFM Willoughby,20 - Grocery,1865558.2299999848,764421.3533999855,89630.09000000003,853971.5833999855,40.98,4.8,45.78,13.1
