short_name,pos_name,revenue,initial_gp,shrinkage,final_gp,gpm_pct,shrinkage_pct,final_gp_pct,budget_sales,budget_gp,sales_vs_budget_pct,gp_vs_budget_pct,data_source,is_new_2025,retail_sqm,total_sqm,centre_type,refurbishment_date,performance_tier,profitability_tier,cbas_annual_sales_m,market_share,share_of_wallet,spend_per_customer,visits_per_customer,store_penetration,rev_per_retail_sqm,gp_per_retail_sqm,est_capital_low_3k,rev_roc_low_3k,gpm_roc_low_3k,est_capital_primary_4k,rev_roc_primary_4k,gpm_roc_primary_4k,est_capital_high_5k,rev_roc_high_5k,gpm_roc_high_5k,format_segment,weeks_trading,actual_total_revenue,annualised_recent_4wk,store_age_years,lifecycle_category
Pennant Hills,10 - HFM Pennant Hills,11342126.289999984,4639440.171799987,-115303.34999999998,4525792.071799986,40.9,-1.02,39.9,13601694.065449622,4809551.43909915,83.39,94.1,ACTUAL_POS_FY24,False,839.0,1199.0,Shopping Centre,null,5.0,5.0,15.3,0.0423,0.116,265.7,6.38,0.118,13519.0,5530.0,3595714.0,3.15,1.29,4794286.0,2.37,0.97,5992857.0,1.89,0.77,Express,,,,,Legacy (pre-tracking)
St Ives,24 - HFM St Ives,18641456.110000007,6937505.299900003,-551641.6800000002,6384670.236900004,37.22,-2.96,34.25,22751239.28363425,7704439.031697409,81.94,82.87,ACTUAL_POS_FY24,False,1246.0,1780.0,Shopping Centre,null,2.0,4.0,27.4,0.1101,0.165,374.8,7.57,0.26,14961.0,5568.0,5340000.0,3.49,1.3,7120000.0,2.62,0.97,8900000.0,2.09,0.78,Standard,,,,,Legacy (pre-tracking)
Mosman,28 - HFM Mosman,30012533.64000011,11765646.265000122,173268.62000000023,11934312.06880012,39.2,0.58,39.76,36704322.39808939,12813607.532943642,81.77,93.14,ACTUAL_POS_FY24,False,1674.0,2391.0,Shopping Centre,null,1.0,1.0,42.5,0.3281,0.374,559.7,10.76,0.434,17929.0,7028.0,7174286.0,4.18,1.64,9565714.0,3.14,1.23,11957143.0,2.51,0.98,Standard,,,,,Legacy (pre-tracking)
Willoughby,32 - HFM Willoughby,14245186.299999986,5923862.49979999,-84568.16999999993,5837382.216799989,41.59,-0.59,40.98,16164165.39977845,5667572.21956504,88.13,103.0,ACTUAL_POS_FY24,False,859.0,1227.0,Shopping Centre,Refurb 2024,3.0,4.0,19.1,0.0522,0.144,334.5,7.18,0.088,16583.0,6896.0,3681429.0,3.87,1.61,4908571.0,2.9,1.21,6135714.0,2.32,0.97,Express,,,,0.0,Refurbishment
Broadway,37 - HFM Broadway,21037017.780000035,8037567.606300045,-393122.25999999995,7639530.249300043,38.21,-1.87,36.31,26067780.19128725,9061200.176215911,80.7,84.31,ACTUAL_POS_FY24,False,1641.0,2344.0,Shopping Centre,Refurb 2020,5.0,5.0,26.6,0.0131,0.076,188.1,4.47,0.039,12820.0,4898.0,7032857.0,2.99,1.14,9377143.0,2.24,0.86,11721429.0,1.79,0.69,Standard,,,,4.0,Refurbishment
Erina,40 - HFM Erina,23146303.53000009,8936671.31790009,-320003.34999999974,8615291.87815009,38.61,-1.38,37.22,25857897.771961994,8836932.84627838,89.51,97.49,ACTUAL_POS_FY24,False,1325.0,1893.0,Shopping Centre,Refurb 2023,2.0,2.0,34.3,0.0446,0.085,300.1,5.87,0.218,17469.0,6745.0,5678571.0,4.08,1.57,7571429.0,3.06,1.18,9464286.0,2.45,0.94,Standard,,,,1.0,Refurbishment
Orange,44 - HFM Orange,15458264.359999979,6112610.989099981,-128459.3999999997,5983360.849099982,39.54,-0.83,38.71,17610512.761067696,6132774.83643741,87.78,97.56,ACTUAL_POS_FY24,False,1114.0,1591.0,Standalone,null,3.0,3.0,21.2,0.0857,0.125,365.5,6.73,0.28,13876.0,5487.0,4774286.0,3.24,1.28,6365714.0,2.43,0.96,7957143.0,1.94,0.77,Express,,,,,Legacy (pre-tracking)
Manly,48 - HFM Manly,28968013.180000108,10135201.751000116,481846.4500000004,10609561.008200115,34.99,1.66,36.63,33702820.4052354,11612513.16684231,85.95,91.36,ACTUAL_POS_FY24,False,1422.0,2031.0,Standalone,null,1.0,1.0,40.8,0.0583,0.123,446.5,7.15,0.142,20371.0,7127.0,6094286.0,4.75,1.66,8125714.0,3.56,1.25,10157143.0,2.85,1.0,Standard,,,,,Legacy (pre-tracking)
Mona Vale,49 - HFM Mona Vale,18509057.590000022,7304082.629000023,-569163.05,6734984.118200022,39.46,-3.08,36.39,22570322.15993746,7803119.62708309,82.01,86.31,ACTUAL_POS_FY24,False,874.0,1249.0,Shopping Centre,null,1.0,3.0,26.7,0.0666,0.101,404.5,8.9,0.222,21177.0,8357.0,3745714.0,4.94,1.95,4994286.0,3.71,1.46,6242857.0,2.96,1.17,Express,,,,,Legacy (pre-tracking)
Bowral,51 - HFM Bowral,19823105.990000013,7702984.131000018,-128595.92999999988,7571894.199020017,38.86,-0.65,38.2,22755561.359637856,7809700.4114034595,87.11,96.95,ACTUAL_POS_FY24,False,1406.0,2009.0,Standalone,null,3.0,2.0,27.3,0.0983,0.163,582.3,7.77,0.212,14099.0,5479.0,6025714.0,3.29,1.28,8034286.0,2.47,0.96,10042857.0,1.97,0.77,Standard,,,,,Legacy (pre-tracking)
