Region Code,Region Name
ACT,ACT
AUS,AUS
NSW,NSW
QLD,QLD
2000,Sydney
2006,Camperdown (NSW)
2007,Ultimo
2008,Chippendale
2009,Pyrmont
2010,Surry Hills
2011,Potts Point
2015,Alexandria
2016,Redfern
2017,Waterloo (NSW)
2018,Rosebery (NSW)
2019,Botany
2020,Mascot
2021,Paddington (NSW)
2022,Bondi Junction
2023,Bellevue Hill
2024,Bronte
2025,Woollahra
2026,Bondi Beach
2027,Darling Point
2028,Double Bay
2029,Rose Bay (NSW)
2030,Vaucluse
2031,Randwick
2032,Kingsford (NSW)
2033,Kensington (NSW)
2034,Coogee (NSW)
2035,Maroubra
2036,Matraville
2037,Glebe (NSW)
2038,Annandale (NSW)
2039,Rozelle
2040,Leichhardt (NSW)
2041,Balmain
2042,Newtown (NSW)
2043,Erskineville
2044,St Peters (NSW)
2045,Haberfield
2046,Five Dock
2047,Drummoyne
2048,Stanmore (NSW)
2049,Petersham
2050,Camperdown (NSW)
2052,Kensington (NSW)
2060,North Sydney
2061,Kirribilli
2062,Cammeray
2063,Northbridge (NSW)
2064,Artarmon
2065,St Leonards (NSW)
2066,Lane Cove North
2067,Chatswood
2068,Willoughby (NSW)
2069,Roseville
2070,Lindfield
2071,Killara (NSW)
2072,Gordon (NSW)
2073,Pymble
2074,Turramurra
2075,St Ives (NSW)
2076,Wahroonga
2077,Hornsby
2079,Mount Colah
2080,Mount Kuring-Gai
2081,Berowra
2082,Berowra Heights
2083,Brooklyn (NSW)
2084,Terrey Hills
2085,Belrose
2086,Frenchs Forest
2087,Forestville (NSW)
2088,Mosman
2089,Neutral Bay
2090,Cremorne (NSW)
2092,Seaforth (NSW)
2093,Balgowlah
2094,Fairlight
2095,Manly (NSW)
2096,Freshwater (NSW)
2097,Collaroy (NSW)
2099,Dee Why
2100,Beacon Hill
2101,Narrabeen
2102,Warriewood
2103,Mona Vale
2104,Bayview (NSW)
2105,Scotland Island
2106,Newport (NSW)
2107,Avalon Beach
2108,Palm Beach (NSW)
2109,Macquarie Park
2110,Hunters Hill
2111,Gladesville
2112,Ryde
2113,North Ryde
2114,West Ryde
2115,Ermington
2116,Rydalmere
2117,Telopea
2118,Carlingford
2119,Beecroft
2120,Pennant Hills
2121,Epping (NSW)
2122,Eastwood (NSW)
2125,West Pennant Hills
2126,Cherrybrook
2127,Sydney Olympic Park
2128,Silverwater (Parramatta - NSW)
2129,Homebush (NSW)
2130,Summer Hill (Inner West - NSW)
2131,Ashfield (NSW)
2132,Croydon (NSW)
2133,Croydon Park (NSW)
2134,Burwood (NSW)
2135,Strathfield (NSW)
2136,Strathfield South
2137,Concord
2138,Rhodes
2140,Homebush (NSW)
2141,Lidcombe
2142,Granville (NSW)
2143,Regents Park (NSW)
2144,Auburn (NSW)
2145,Greystanes
2146,Toongabbie (NSW)
2147,Seven Hills (NSW)
2148,Blacktown
2150,Parramatta
2151,North Parramatta
2152,Northmead
2153,Baulkham Hills
2154,Castle Hill (NSW)
2155,Kellyville
2156,Glenhaven
2157,Glenorie
2158,Dural (Hornsby - NSW)
2159,Galston
2160,Merrylands
2161,Guildford (NSW)
2162,Chester Hill
2163,Villawood
2164,Smithfield (NSW)
2165,Fairfield (NSW)
2166,Cabramatta
2167,Glenfield (NSW)
2168,Green Valley (NSW)
2170,Liverpool
2171,West Hoxton
2172,Voyager Point
2173,Wattle Grove (NSW)
2174,Edmondson Park
2175,Horsley Park
2176,Bossley Park
2177,Bonnyrigg
2178,Kemps Creek
2179,Leppington
2190,Greenacre
2191,Belfield
2192,Belmore
2193,Canterbury (NSW)
2194,Campsie
2195,Lakemba
2196,Punchbowl (Canterbury-Bankstown - NSW)
2197,Bass Hill
2198,Georges Hall
2199,Yagoona
2200,Bankstown
2203,Dulwich Hill
2204,Marrickville
2205,Wolli Creek
2206,Earlwood
2207,Bexley
2208,Kingsgrove
2209,Beverly Hills
2210,Riverwood
2211,Padstow
2212,Revesby
2213,Panania
2214,Milperra
2216,Rockdale
2217,Kogarah
2218,Carlton (NSW)
2219,Sans Souci
2220,Hurstville
2221,Blakehurst
2222,Penshurst (NSW)
2223,Mortdale
2224,Sylvania
2225,Oyster Bay
2226,Jannali
2227,Gymea
2228,Miranda (NSW)
2229,Caringbah
2230,Cronulla
2231,Kurnell
2232,Sutherland (NSW)
2233,Engadine
2234,Menai
2250,Wyoming
2251,Kincumber
2256,Woy Woy
2257,Umina Beach
2258,Ourimbah
2259,Hamlyn Terrace
2260,Terrigal
2261,Bateau Bay
2262,Blue Haven
2263,Gorokan
2264,Bonnells Bay
2265,Cooranbong
2267,Wangi Wangi
2278,Barnsley
2280,Belmont (NSW)
2281,Swansea (NSW)
2282,Warners Bay
2283,Toronto
2284,Speers Point
2285,Cameron Park
2286,West Wallsend
2287,Wallsend
2289,Adamstown
2290,Charlestown (NSW)
2291,Merewether
2292,Broadmeadow
2293,Wickham (NSW)
2294,Carrington (Newcastle - NSW)
2295,Stockton (NSW)
2296,Islington
2297,Tighes Hill
2298,Waratah (NSW)
2299,Lambton
2300,Newcastle
2302,Newcastle West
2303,Hamilton (NSW)
2304,Mayfield (Newcastle - NSW)
2305,New Lambton
2306,Windale
2307,Shortland
2308,Callaghan
2311,Gresford
2312,Nabiac
2315,Nelson Bay (NSW)
2316,Anna Bay
2317,Salamander Bay
2318,Medowie
2319,Tanilba Bay
2320,Rutherford
2321,Gillieston Heights
2322,Thornton (NSW)
2323,East Maitland
2324,Raymond Terrace
2325,Cessnock
2326,Weston (NSW)
2327,Kurri Kurri
2328,Denman
2329,Merriwa (NSW)
2330,Singleton (NSW)
2333,Muswellbrook
2334,Greta (NSW)
2335,North Rothbury
2336,Aberdeen (NSW)
2337,Scone
2338,Murrurundi
2339,Willow Tree
2340,South Tamworth
2341,Werris Creek
2342,Currabubula
2343,Quirindi
2344,Duri
2345,Attunga
2346,Manilla
2347,Barraba
2350,Armidale
2351,Armidale
2352,Kootingal
2353,Moonbi
2354,Walcha
2355,Bendemeer
2357,Coonabarabran
2358,Uralla (NSW)
2359,Bundarra
2360,Inverell
2361,Ashford (NSW)
2365,Guyra
2369,Tingha
2370,Glen Innes
2371,Emmaville
2372,Tenterfield
2379,Goolhi
2380,Gunnedah
2381,Curlewis (NSW)
2382,Boggabri
2386,Burren Junction
2388,Wee Waa
2390,Narrabri
2395,Binnaway
2396,Baradine
2397,Bellata
2398,Gurley
2399,Pallamallawa
2400,Moree
2401,Gravesend
2402,Warialda
2403,Delungra
2404,Bingara
2405,Garah
2406,Mungindi (NSW)
2408,North Star
2409,Boggabilla
2410,Yetman
2415,Upper Karuah River
2420,Dungog
2421,Vacy
2422,Gloucester
2423,Bulahdelah
2424,Mount George (NSW)
2425,Stroud
2426,Coopernook
2427,Harrington
2428,Forster (NSW)
2429,Wingham
2430,Taree
2431,South West Rocks
2439,Kew (NSW)
2440,West Kempsey
2441,Upper Rollands Plains
2443,Laurieton
2444,Port Macquarie
2445,Lake Cathie
2446,Wauchope
2447,Macksville
2448,Nambucca Heads
2449,Buckra Bendinni
2450,Coffs Harbour
2452,Toormina
2453,Dorrigo
2454,Bellingen
2455,Urunga
2456,Woolgoolga
2460,Grafton
2462,Ulmarra
2463,Maclean
2464,Yamba (NSW)
2465,Harwood
2466,Iluka (NSW)
2469,Woombah
2470,Casino
2471,West Coraki
2472,Woodburn (Richmond Valley - NSW)
2473,Evans Head
2474,Kyogle
2475,Urbenville
2476,Woodenbong
2477,Alstonville
2478,Ballina
2479,Bangalow
2480,Goonellabah
2481,Byron Bay
2482,Mullumbimby
2483,Ocean Shores
2484,Murwillumbah
2485,Tweed Heads
2486,Banora Point
2487,Kingscliff
2488,Bogangar
2489,Pottsville
2490,Tumbulgum
2500,Wollongong
2502,Warrawong
2505,Port Kembla
2506,Berkeley
2508,Helensburgh
2515,Thirroul
2516,Bulli
2517,Woonona
2518,Corrimal
2519,Fairy Meadow
2525,Figtree
2526,Unanderra
2527,Albion Park
2528,Warilla
2529,Shell Cove
2530,Dapto
2533,Kiama
2534,Gerringong
2535,Shoalhaven Heads
2536,Catalina
2537,Moruya
2538,Milton (NSW)
2539,Ulladulla
2540,Sanctuary Point
2541,Nowra
2545,Bodalla
2546,Narooma
2548,Merimbula
2549,South Pambula
2550,Bega
2551,Eden
2555,Badgerys Creek
2556,Bringelly
2557,Gledswood Hills
2558,Eagle Vale
2559,Claymore
