Seq,Store_Company,FY_LOL,Rolling_13Wk_LOL,Rolling_13Wk_LOL_728,FV_Store,col_20,col_21,col_22,col_23,Store_No,State,LFL
1,10 - HFM Pennant Hills,1,1,1,1,,,,,10,NSW,1
2,11 - HFM Meats Pennant Hills,1,1,1,0,,,,,11,NSW,1
3,13 - HFM Meats Willoughby,0,0,0,0,,,,,13,NSW,1
4,19 - HFM Meats Mosman,1,1,1,0,,,,,19,NSW,1
5,22 - HFM Merrylands,0,0,0,1,,,,,22,NSW,1
6,24 - HFM St Ives,1,1,1,1,,,,,24,NSW,1
7,28 - HFM Mosman,1,1,1,1,,,,,28,NSW,1
8,29 - HFM Bondi Junction,0,0,0,1,,,,,29,NSW,1
9,32 - HFM Willoughby,1,1,1,1,,,,,32,NSW,1
10,37 - HFM Broadway,1,1,1,1,,,,,37,NSW,1
11,38 - HFM Glendale,0,0,0,1,,,,,38,NSW,1
12,40 - HFM Erina,1,1,1,1,,,,,40,NSW,1
13,44 - HFM Orange,1,1,1,1,,,,,44,NSW,1
14,47 - HFM Penrith,0,0,0,1,,,,,47,NSW,1
15,48 - HFM Manly,1,1,1,1,,,,,48,NSW,1
16,49 - HFM Mona Vale,1,1,1,1,,,,,49,NSW,1
17,50 - HFM Baulkham Hills,0,0,0,1,,,,,50,NSW,1
18,51 - HFM Bowral,1,1,1,1,,,,,51,NSW,1
19,52 - HFM Cammeray,1,1,1,1,,,,,52,NSW,1
20,54 - HFM Potts Point,1,1,1,1,,,,,54,NSW,1
21,55 - HFM Dee Why,0,0,0,1,,,,,55,NSW,1
22,56 - HFM Boronia Park,1,1,1,1,,,,,56,NSW,1
23,57 - HFM Bondi Beach,1,1,1,1,,,,,57,NSW,1
24,58 - HFM Drummoyne,1,1,1,1,,,,,58,NSW,1
25,59 - HFM Bathurst Concession,1,1,1,1,,,,,59,NSW,1
26,61 - HFM Moruya Concession,0,0,0,1,,,,,61,NSW,1
27,63 - HFM Randwick,1,1,1,1,,,,,63,NSW,1
28,64 - HFM Leichhardt,1,1,1,1,,,,,64,NSW,1
29,65 - HFM Bondi Westfield,1,1,1,1,,,,,65,NSW,1
30,66 - HFM Newcastle,1,1,1,1,,,,,66,NSW,1
31,67 - HFM Lindfield,1,1,1,1,,,,,67,NSW,1
32,68 - HFM Albury,1,1,0,1,,,,,68,NSW,1
33,69 - HFM Rose Bay,1,1,0,1,,,,,69,NSW,1
34,99 - Online Unallocated,0,0,0,1,,,,,99,NSW,1
35,70 - HFM West End,1,1,0,1,,,,,70,QLD,1
36,72 - HFM Wagga Concession,0,0,0,1,,,,,72,NSW,1
37,73 - HFM Online,1,1,1,0,,,,,73,NSW,1
38,74 - HFM Isle of Capri,0,0,0,1,,,,,74,QLD,1
39,75 - HFM Clayfield,1,1,0,1,,,,,75,QLD,1
40,76 - HFM Lane Cove,0,0,0,1,,,,,76,NSW,1
,,,,,,,,,,80,NSW,1
,,,,,,,,,,84,NSW,0
,,,,,,,,,,77,NSW,0
,,,,,,,,,,85,NSW,0
,,,,,,,,,,86,NSW,0
,,,,,,,,,,87,NSW,0
X,,,,,,,,,,,,
x,,,,,,,,,,,,
